,open,high,low,close,adj close,volume
2019-12-03,258.31,259.53,256.29,259.45,63.3588381733249,29377268.0
2019-12-04,261.07,263.31,260.68,261.74,63.91806630752,16810388.0
2019-12-05,263.79,265.89,262.73,265.58,64.8558113011047,18661343.0
2019-12-06,267.48,271.0,267.3,270.71,66.1085800034719,26547493.0
2019-12-09,270.0,270.8,264.91,266.92,65.1830452311578,32182645.0
2019-12-10,268.6,270.07,265.86,268.48,65.5640041348016,22632383.0
2019-12-11,268.81,271.1,268.5,270.77,66.1232322689966,19723391.0
2019-12-12,267.78,272.56,267.32,271.46,66.2917333225314,34437042.0
2019-12-13,271.46,275.3,270.93,275.15,67.1928476523043,33432806.0
2019-12-16,277.0,280.79,276.98,279.86,68.3430504959981,32081105.0
2019-12-17,279.57,281.77,278.8,280.41,68.4773629299751,28575798.0
2019-12-18,279.8,281.9,279.12,279.74,68.3137459649486,29024687.0
2019-12-19,279.5,281.18,278.95,280.02,68.3821232040641,24626947.0
2019-12-20,282.23,282.65,278.56,279.44,68.2404846373248,69032743.0
2019-12-23,280.53,284.25,280.37,284.0,69.3540568172067,24677883.0
2019-12-24,284.69,284.89,282.92,284.27,69.4199920120681,12119714.0
2019-12-26,284.82,289.98,284.7,289.91,70.7973049713957,23334004.0
2019-12-27,291.12,293.97,288.12,289.8,70.7704424846003,36592936.0
2019-12-30,289.46,292.69,285.22,291.52,71.1904740963102,36059614.0
2019-12-31,289.93,293.68,289.52,293.65,71.7106295224392,25247625.0
2020-01-02,296.24,300.6,295.19,300.35,73.3467991727043,33911864.0
2020-01-03,297.15,300.58,296.5,297.43,72.6337222504992,36633878.0
2020-01-06,293.79,299.96,292.75,299.8,73.2124867387273,29644644.0
2020-01-07,299.84,300.9,297.48,298.39,72.8681584988954,27877655.0
2020-01-08,297.16,304.44,297.16,303.19,74.0403397408764,33090946.0
2020-01-09,307.24,310.43,306.2,309.63,75.6130162405342,42621542.0
2020-01-10,310.6,312.67,308.25,310.33,75.783959338323,35217272.0
2020-01-13,311.64,317.07,311.15,316.96,77.4030346788092,30028742.0
2020-01-14,316.7,317.57,312.17,312.68,76.3578397380429,40653457.0
2020-01-15,311.85,315.5,309.55,311.34,76.0306058079899,30480882.0
2020-01-16,313.59,315.7,312.09,315.24,76.9830030670994,27207254.0
2020-01-17,316.27,318.74,315.0,318.73,77.8352765117897,34454117.0
2020-01-21,317.19,319.02,316.0,316.57,77.3077949528983,27235039.0
2020-01-22,318.58,319.99,317.31,317.7,77.5837459536146,25458115.0
2020-01-23,317.92,319.56,315.65,319.23,77.9573787244961,26117993.0
2020-01-24,320.25,323.33,317.52,318.31,77.7327106531164,36634380.0
2020-01-27,310.06,311.77,304.88,308.95,75.4469572312535,40485005.0
2020-01-28,312.6,318.4,312.19,317.69,77.5813039093605,40558486.0
2020-01-29,324.45,327.85,321.38,324.34,79.205263338355,54149928.0
2020-01-30,320.54,324.09,318.75,323.87,79.090487258411,31685808.0
2020-01-31,320.93,322.68,308.29,309.51,75.5837117094846,49897096.0
2020-02-03,304.3,313.49,302.22,308.66,75.3761379478838,43496401.0
2020-02-04,315.31,319.64,313.63,318.85,77.8645810428392,34154134.0
2020-02-05,323.52,324.76,318.95,321.45,78.4995125489123,29706718.0
2020-02-06,322.57,325.22,320.26,325.21,79.417721188464,26356385.0
2020-02-07,322.37,323.4,318.0,320.03,78.340779672394,29421012.0
2020-02-10,314.18,321.55,313.85,321.55,78.7128634929797,27337215.0
2020-02-11,323.6,323.9,318.71,319.61,78.2379670377585,23580780.0
2020-02-12,321.47,327.22,321.47,327.2,80.0959382208147,28432573.0
2020-02-13,324.19,326.22,323.35,324.87,79.5255728905748,23686892.0
2020-02-14,324.74,325.98,322.85,324.95,79.5451562495529,20028447.0
2020-02-18,315.36,319.75,314.61,319.0,78.0886439255497,38190545.0
2020-02-19,320.0,324.57,320.0,323.62,79.2195829065405,23495991.0
2020-02-20,322.63,324.65,318.21,320.3,78.4068735089454,25141489.0
2020-02-21,318.62,320.45,310.5,313.05,76.6321316015465,32426415.0
2020-02-24,297.26,304.18,289.23,298.18,72.9920747514747,55548828.0
